"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"ABELI","","Abelia","","","","","","","","",""
"ABGR4","","Abelia ×grandiflora","Perennial","Spring, Summer, Fall","Dark Green","5.5","6.8","35","60","Tolerant","-8"
"ABELM","","Abelmoschus","","","","","","","","",""
"ABES","","Abelmoschus esculentus","Annual, Perennial","","","","","","","",""
"ABMA9","","Abelmoschus manihot","","","","","","","","",""
"ABMO","","Abelmoschus moschatus","Perennial","","","","","","","",""
"ABIES","","Abies","","","","","","","","",""
"ABAL3","","Abies alba","Perennial","","","","","","","",""
"ABAM","","Abies amabilis","Perennial","Spring and Summer","Gray-Green","3.3","6.0","38","260","Tolerant","-28"
"ABBA","","Abies balsamea","Perennial","Spring and Summer","Green","4.0","6.0","13","60","Tolerant","-43"
"ABBAB","","Abies balsamea var. balsamea","Perennial","","","","","","","",""
"ABBAP","","Abies balsamea var. phanerolepis","Perennial","","","","","","","",""
"ABBR","","Abies bracteata","Perennial","","","","","","","",""
"ABCO","","Abies concolor","Perennial","Spring and Summer","Green","5.5","7.8","18","80","Intermediate","-38"
"ABFI","","Abies firma","Perennial","","","","","","","",""
"ABFR","","Abies fraseri","Perennial","Spring and Summer","Dark Green","3.5","5.5","45","100","Tolerant","-23"
"ABGR","","Abies grandis","Perennial","Spring and Summer","Green","4.5","7.5","11","100","Tolerant","-33"
"ABGU","","Abies guatemalensis","Perennial","","","","","","","",""
"ABHO","","Abies homolepis","Perennial","","","","","","","",""
"ABLA","","Abies lasiocarpa","Perennial","Spring and Summer","Green","4.0","6.5","20","150","Tolerant","-51"
"ABLAA","","Abies lasiocarpa var. arizonica","Perennial","","","","","","","",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa","Perennial","","","","","","","",""
"ABLO","","Abies lowiana","Perennial","","","","","","","",""
"ABMA","","Abies magnifica","Perennial","Spring and Summer","Dark Green","5.0","6.1","33","64","Tolerant","-23"
"ABMAM","","Abies magnifica var. magnifica","Perennial","","","","","","","",""
"ABMAS","","Abies magnifica var. shastensis","Perennial","","","","","","","",""
"ABPR","","Abies procera","Perennial","Spring and Summer","Dark Green","6.0","7.5","64","120","Intermediate","-23"
"ABVE2","","Abies veitchii","","","","","","","","",""
"ABIET","","Abietinella","","","","","","","","",""
"ABAB70","","Abietinella abietina","","","","","","","","",""
"ABILD","","Abildgaardia","","","","","","","","",""
"ABOV","","Abildgaardia ovata","Perennial","","","","","","","",""
"ABROM","","Abroma","","","","","","","","",""
"ABAU3","","Abroma augustum","Perennial","","","","","","","",""
"ABRON","","Abronia","","","","","","","","",""
"ABAL","","Abronia alpina","Perennial","","","","","","","",""
"ABAM2","","Abronia ameliae","Perennial","","","","","","","",""
"ABAM3","","Abronia ammophila","Perennial","","","","","","","",""
"ABAN","","Abronia angustifolia","Annual, Perennial","","","","","","","",""
"ABAR","","Abronia argillosa","Perennial","","","","","","","",""
"ABBI","","Abronia bigelovii","Perennial","","","","","","","",""
"ABBO","","Abronia bolackii","Perennial","","","","","","","",""
"ABCA","","Abronia carletonii","Perennial","","","","","","","",""
"ABEL","","Abronia elliptica","Perennial","","","","","","","",""
"ABFR2","","Abronia fragrans","Perennial","","","","","","","",""
"ABGR2","","Abronia gracilis","Annual","","","","","","","",""
"ABIN2","","Abronia insularis","Perennial","","","","","","","",""
"ABLA2","","Abronia latifolia","Perennial","","","","","","","",""
"ABMA5","","Abronia macrocarpa","Perennial","","","","","","","",""
"ABMA2","","Abronia maritima","Perennial","","","","","","","",""
"ABME","","Abronia mellifera","Perennial","","","","","","","",""
"ABMI2","","Abronia minor","Perennial","","","","","","","",""
"ABNA","","Abronia nana","Perennial","","","","","","","",""
"ABNAC","","Abronia nana var. covillei","Perennial","","","","","","","",""
"ABNAH","","Abronia nana var. harrisii","Perennial","","","","","","","",""
"ABNAN","","Abronia nana var. nana","Perennial","","","","","","","",""
"ABNE","","Abronia neurophylla","Perennial","","","","","","","",""
"ABPO","","Abronia pogonantha","Annual","","","","","","","",""
"ABTU","","Abronia turbinata","Annual, Perennial","","","","","","","",""
"ABUM","","Abronia umbellata","Perennial","","","","","","","",""
"ABUMB","","Abronia umbellata ssp. breviflora","Perennial","","","","","","","",""
"ABUMU","","Abronia umbellata ssp. umbellata","Perennial","","","","","","","",""
"ABVI","","Abronia villosa","Annual","","","","","","","",""
"ABVIA","","Abronia villosa var. aurita","Annual","","","","","","","",""
"ABVIV","","Abronia villosa var. villosa","Annual","","","","","","","",""
"ABROT","","Abrothallus","","","","","","","","",""
"ABBE2","","Abrothallus bertianus","","","","","","","","",""
"ABBR3","","Abrothallus bryoriarum","","","","","","","","",""
"ABCE","","Abrothallus cetrariae","","","","","","","","",""
"ABCL","","Abrothallus cladoniae","","","","","","","","",""
"ABPA5","","Abrothallus parmeliarum","","","","","","","","",""
"ABPE2","","Abrothallus peyritschii","","","","","","","","",""
"ABPR5","","Abrothallus prodiens","","","","","","","","",""
"ABWE","","Abrothallus welwitschii","","","","","","","","",""
"ABRUS","","Abrus","","","","","","","","",""
"ABPR3","","Abrus precatorius","Perennial","","","","","","","",""
"ABSCO","","Absconditella","","","","","","","","",""
"ABSP","","Absconditella sphagnorum","","","","","","","","",""
"ABTR3","","Absconditella trivialis","","","","","","","","",""
"ABUTI","","Abutilon","","","","","","","","",""
"ABAB","","Abutilon abutiloides","Perennial","","","","","","","",""
"ABAU","","Abutilon auritum","Perennial","","","","","","","",""
"ABBE","","Abutilon berlandieri","Perennial","","","","","","","",""
"ABER","","Abutilon eremitopetalum","Perennial","","","","","","","",""
"ABFR3","","Abutilon fruticosum","Perennial","","","","","","","",""
"ABGL","","Abutilon glabriflorum","","","","","","","","",""
"ABGR3","","Abutilon grandifolium","Perennial","","","","","","","",""
"ABHI","","Abutilon hirtum","Perennial","","","","","","","",""
"ABHU","","Abutilon hulseanum","Perennial","","","","","","","",""
"ABHY","","Abutilon hypoleucum","Perennial","","","","","","","",""
"ABIN","","Abutilon incanum","Perennial","","","","","","","",""
"ABIN3","","Abutilon indicum","Perennial","","","","","","","",""
"ABINA","","Abutilon indicum ssp. albescens","Perennial","","","","","","","",""
"ABMA3","","Abutilon malacum","Perennial","","","","","","","",""
"ABMA8","","Abutilon mauritianum","","","","","","","","",""
"ABME3","","Abutilon megapotamicum","","","","","","","","",""
"ABME2","","Abutilon menziesii","Perennial","","","","","","","",""
"ABMO2","","Abutilon mollicomum","Perennial","","","","","","","",""
"ABPA","","Abutilon palmeri","Perennial","","","","","","","",""
"ABPA2","","Abutilon parishii","Perennial","","","","","","","",""
"ABPA3","","Abutilon parvulum","Perennial","","","","","","","",""
"ABPE","","Abutilon permolle","Perennial","","","","","","","",""
"ABRE","","Abutilon reventum","Perennial","","","","","","","",""
"ABSA2","","Abutilon sandwicense","Perennial","","","","","","","",""
"ABTH","","Abutilon theophrasti","Annual","","","","","","","",""
"ABTH2","","Abutilon thurberi","Perennial","","","","","","","",""
"ABTR","","Abutilon trisulcatum","Perennial","","","","","","","",""
"ABWR","","Abutilon wrightii","Perennial","","","","","","","",""
"ACACI","","Acacia","","","","","","","","",""
"ACEM","","Acacia ×emoryana","Perennial","","","","","","","",""
"ACAB2","","Acacia abyssinica","","","","","","","","",""
"ACABC2","","Acacia abyssinica ssp. calophylla","","","","","","","","",""
"ACAC7","","Acacia acinacea","","","","","","","","",""
"ACAC8","","Acacia aciphylla","","","","","","","","",""
"ACAC9","","Acacia aculeatissima","","","","","","","","",""
"ACAC10","","Acacia acuminata","","","","","","","","",""
"ACAD","","Acacia adunca","","","","","","","","",""
"ACAL16","","Acacia alata","","","","","","","","",""
"ACAM9","","Acacia ampliceps","","","","","","","","",""
"ACAN4","","Acacia anegadensis","Perennial","","","","","","","",""
"ACAN10","","Acacia aneura","Perennial","","","","","","","",""
"ACAN","","Acacia angustissima","Perennial","","","","","","","",""
"ACANC","","Acacia angustissima var. chisosiana","Perennial","","","","","","","",""
"ACANH","","Acacia angustissima var. hirta","Perennial","","","","","","","",""
"ACANL","","Acacia angustissima var. leucothrix","Perennial","","","","","","","",""
"ACANS","","Acacia angustissima var. shrevei","Perennial","","","","","","","",""
"ACANS2","","Acacia angustissima var. suffrutescens","Perennial","","","","","","","",""
"ACAR12","","Acacia arenaria","","","","","","","","",""
"ACAU","","Acacia auriculiformis","Perennial","","","","","","","",""
"ACBA","","Acacia baileyana","Perennial","","","","","","","",""
"ACBE6","","Acacia beckleri","","","","","","","","",""
"ACBE","","Acacia berlandieri","Perennial","","","","","","","",""
"ACBI5","","Acacia binervata","","","","","","","","",""
"ACBO4","","Acacia boomanii","","","","","","","","",""
"ACBR3","","Acacia brachybotrya","","","","","","","","",""
"ACBU3","","Acacia buxifolia","","","","","","","","",""
"ACCA23","","Acacia caesiella","","","","","","","","",""
"ACCA24","","Acacia calamifolia","","","","","","","","",""
"ACCA25","","Acacia cambagei","","","","","","","","",""
"ACCA27","","Acacia cardiophylla","","","","","","","","",""
"ACCA21","","Acacia catechu","","","","","","","","",""
"ACCA35","","Acacia caven","","","","","","","","",""
"ACCH8","","Acacia chinchillensis","","","","","","","","",""
"ACCH","","Acacia choriophylla","Perennial","","","","","","","",""
"ACCI6","","Acacia cibaria","","","","","","","","",""
"ACCO15","","Acacia cognata","","","","","","","","",""
"ACCO16","","Acacia colletioides","","","","","","","","",""
"ACCO24","","Acacia collinsii","","","","","","","","",""
"ACCO","","Acacia confusa","Perennial","","","","","","","",""
"ACCO17","","Acacia conspersa","","","","","","","","",""
"ACCO2","","Acacia constricta","Perennial","Spring and Summer","Green","7.0","8.5","4","20","Intolerant","-13"
"ACCOC","","Acacia constricta var. constricta","Perennial","","","","","","","",""
"ACCOP9","","Acacia constricta var. paucispina","Perennial","","","","","","","",""
"ACCO18","","Acacia continua","","","","","","","","",""
"ACCO5","","Acacia cornigera","Perennial","","","","","","","",""
"ACCR2","","Acacia craspedocarpa","","","","","","","","",""
"ACCU4","","Acacia cultriformis","","","","","","","","",""
"ACCU5","","Acacia cupularis","","","","","","","","",""
"ACCY2","","Acacia cyclops","Perennial","Spring and Summer","Dark Green","6.0","8.3","16","40","Intolerant","14"
"ACDA5","","Acacia davyi","","","","","","","","",""
"ACDE3","","Acacia dealbata","Perennial","","","","","","","",""
"ACDE11","","Acacia deanei","","","","","","","","",""
"ACDEP2","","Acacia deanei ssp. paucijuga","","","","","","","","",""
"ACDE12","","Acacia decora","","","","","","","","",""
"ACDE","","Acacia decurrens","Perennial","","","","","","","",""
"ACDI7","","Acacia dietrichiana","","","","","","","","",""
"ACDI8","","Acacia difformis","","","","","","","","",""
"ACDO2","","Acacia doratoxylon","","","","","","","","",""
"ACDR2","","Acacia drummondii","","","","","","","","",""
"ACDU3","","Acacia dunnii","","","","","","","","",""
"ACEB2","","Acacia eburnea","","","","","","","","",""
"ACEL","","Acacia elata","Perennial","","","","","","","",""
"ACER4","","Acacia erioloba","","","","","","","","",""
"ACER5","","Acacia erubescens","","","","","","","","",""
"ACES2","","Acacia estrophiolata","","","","","","","","",""
"ACEX3","","Acacia extensa","","","","","","","","",""
"ACFA","","Acacia farnesiana","Perennial","","","","","","","",""
"ACFI4","","Acacia fimbriata","","","","","","","","",""
"ACFL6","","Acacia floribunda","","","","","","","","",""
"ACGA3","","Acacia galpinii","","","","","","","","",""
"ACGE8","","Acacia genistifolia","","","","","","","","",""
"ACGE7","","Acacia gerrardii","","","","","","","","",""
"ACGL5","","Acacia gladiiformis","","","","","","","","",""
"ACGL6","","Acacia glandulicarpa","","","","","","","","",""
"ACGL4","","Acacia glauca","","","","","","","","",""
"ACGO2","","Acacia goetzei","","","","","","","","",""
"ACGR9","","Acacia gracilifolia","","","","","","","","",""
"ACGR","","Acacia greggii","Perennial","Spring and Summer","Green","6.5","8.5","3","20","Intolerant","-13"
"ACGRG3","","Acacia greggii var. greggii","Perennial","","","","","","","",""
"ACGRW","","Acacia greggii var. wrightii","Perennial","","","","","","","",""
"ACHA4","","Acacia hakeoides","","","","","","","","",""
"ACHE8","","Acacia hebeclada","","","","","","","","",""
"ACHE12","","Acacia hemiteles","","","","","","","","",""
"ACHO2","","Acacia holosericea","","","","","","","","",""
"ACHO4","","Acacia horrida","","","","","","","","",""
"ACHO5","","Acacia howittii","","","","","","","","",""
"ACIM4","","Acacia imbricata","","","","","","","","",""
"ACIM5","","Acacia implexa","","","","","","","","",""
"ACIR","","Acacia irrorata","","","","","","","","",""
"ACIT2","","Acacia iteaphylla","","","","","","","","",""
"ACIX2","","Acacia ixiophylla","","","","","","","","",""
"ACJI","","Acacia jibberdingensis","","","","","","","","",""
"ACJO2","","Acacia jonesii","","","","","","","","",""
"ACKA2","","Acacia karroo","","","","","","","","",""
"ACKO","","Acacia koa","Perennial","Year Round","Green","5.0","7.0","50","200","Intolerant","31"
"ACKO2","","Acacia koaia","Perennial","Year Round","Green","4.0","7.4","33","200","Intolerant","25"
"ACLA10","","Acacia lanuginophylla","","","","","","","","",""
"ACLA6","","Acacia lasiocalyx","","","","","","","","",""
"ACLE7","","Acacia leiophylla","","","","","","","","",""
"ACLI8","","Acacia ligulata","","","","","","","","",""
"ACLI5","","Acacia lineata","","","","","","","","",""
"ACLO","","Acacia longifolia","Perennial","Spring and Summer","Green","6.0","8.3","16","40","Intolerant","14"
"ACLOS3","","Acacia longifolia ssp. sophorae","","","","","","","","",""
"ACLO8","","Acacia longissima","","","","","","","","",""
"ACMA","","Acacia macracantha","Perennial","","","","","","","",""
"ACMA11","","Acacia maidenii","","","","","","","","",""
"ACMA12","","Acacia mangium","","","","","","","","",""
"ACME80","","Acacia mearnsii","Perennial","","","","","","","",""
"ACME","","Acacia melanoxylon","Perennial","Spring and Summer","Dark Green","6.0","8.3","16","40","Intolerant","14"
"ACME8","","Acacia mellifera","","","","","","","","",""
"ACMED","","Acacia mellifera ssp. detinens","","","","","","","","",""
"ACME6","","Acacia merrallii","","","","","","","","",""
"ACMI5","","Acacia microbotrya","","","","","","","","",""
"ACMI6","","Acacia microcarpa","","","","","","","","",""
"ACMI","","Acacia millefolia","Perennial","","","","","","","",""
"ACMO9","","Acacia montana","","","","","","","","",""
"ACMU6","","Acacia mucronata","","","","","","","","",""
"ACMU7","","Acacia multispicata","","","","","","","","",""
"ACMU","","Acacia muricata","Perennial","","","","","","","",""
"ACMY2","","Acacia myrtifolia","","","","","","","","",""
"ACNE4","","Acacia neovernicosa","Perennial","","","","","","","",""
"ACNE8","","Acacia neriifolia","","","","","","","","",""
"ACNI8","","Acacia nigrescens","","","","","","","","",""
"ACNI2","","Acacia nilotica","Perennial","","","","","","","",""
"ACNIA3","","Acacia nilotica ssp. adstringens","","","","","","","","",""
"ACNIK2","","Acacia nilotica ssp. kraussiana","","","","","","","","",""
"ACNO5","","Acacia notabilis","","","","","","","","",""
"ACOM","","Acacia omalophylla","","","","","","","","",""
"ACOS2","","Acacia oswaldii","","","","","","","","",""
"ACOX3","","Acacia oxycedrus","","","","","","","","",""
"ACPA15","","Acacia pachyceras","","","","","","","","",""
"ACPAN","","Acacia pachyceras var. najdensis","","","","","","","","",""
"ACPA16","","Acacia papyrocarpa","","","","","","","","",""
"ACPA8","","Acacia paradoxa","Perennial","","","","","","","",""
"ACPA81","","Acacia parramattensis","Perennial","","","","","","","",""
"ACPA9","","Acacia parvipinnula","","","","","","","","",""
"ACPE8","","Acacia pendula","","","","","","","","",""
"ACPE9","","Acacia pennatula","","","","","","","","",""
"ACPE10","","Acacia penninervis","","","","","","","","",""
"ACPE11","","Acacia pentagona","","","","","","","","",""
"ACPI","","Acacia pinetorum","Perennial","","","","","","","",""
"ACPO2","","Acacia podalyriifolia","Perennial","","","","","","","",""
"ACPO3","","Acacia polyacantha","Perennial","","","","","","","",""
"ACPOC2","","Acacia polyacantha ssp. campylacantha","","","","","","","","",""
"ACPR6","","Acacia pravissima","","","","","","","","",""
"ACPR3","","Acacia prominens","","","","","","","","",""
"ACPR4","","Acacia pruinosa","","","","","","","","",""
"ACPU3","","Acacia pulchella","","","","","","","","",""
"ACPY3","","Acacia pycnantha","Perennial","","","","","","","",""
"ACPY4","","Acacia pyrifolia","","","","","","","","",""
"ACQU2","","Acacia quornensis","","","","","","","","",""
"ACRA5","","Acacia ramulosa","","","","","","","","",""
"ACRE9","","Acacia redolens","Perennial","","","","","","","",""
"ACRE8","","Acacia rehmanniana","","","","","","","","",""
"ACRE2","","Acacia retinodes","Perennial","","","","","","","",""
"ACRE4","","Acacia retusa","Perennial","","","","","","","",""
"ACRI10","","Acacia richii","","","","","","","","",""
"ACRI6","","Acacia rigens","","","","","","","","",""
"ACRI","","Acacia rigidula","Perennial","","","","","","","",""
"ACRI7","","Acacia rivalis","","","","","","","","",""
"ACRO5","","Acacia robusta","","","","","","","","",""
"ACRO","","Acacia roemeriana","Perennial","","","","","","","",""
"ACRO6","","Acacia rossei","","","","","","","","",""
"ACRU11","","Acacia rubida","","","","","","","","",""
"ACRU12","","Acacia rupicola","","","","","","","","",""
"ACSA9","","Acacia saliciformis","","","","","","","","",""
"ACSA10","","Acacia salicina","","","","","","","","",""
"ACSA","","Acacia saligna","Perennial","","","","","","","",""
"ACSC2","","Acacia schaffneri","Perennial","","","","","","","",""
"ACSCB","","Acacia schaffneri var. bravoensis","Perennial","","","","","","","",""
"ACSCS2","","Acacia schaffneri var. schaffneri","","","","","","","","",""
"ACSC","","Acacia schottii","Perennial","","","","","","","",""
"ACSC9","","Acacia schweinfurthii","","","","","","","","",""
"ACSC10","","Acacia sclerosperma","","","","","","","","",""
"ACSC12","","Acacia scleroxyla","","","","","","","","",""
"ACSE6","","Acacia senegal","","","","","","","","",""
"ACSER2","","Acacia senegal var. rostrata","","","","","","","","",""
"ACSE7","","Acacia seyal","","","","","","","","",""
"ACSI7","","Acacia sieberiana","","","","","","","","",""
"ACSIW2","","Acacia sieberiana var. woodii","","","","","","","","",""
"ACSI5","","Acacia silvestris","","","","","","","","",""
"ACSO4","","Acacia sophorae","","","","","","","","",""
"ACSP9","","Acacia spectabilis","","","","","","","","",""
"ACSP4","","Acacia sphaerocephala","Perennial","","","","","","","",""
"ACST5","","Acacia stenophylla","","","","","","","","",""
"ACST8","","Acacia stowardii","","","","","","","","",""
"ACST6","","Acacia stricta","","","","","","","","",""
"ACSU9","","Acacia suaveolens","","","","","","","","",""
"ACSU11","","Acacia sublanata","","","","","","","","",""
"ACSU10","","Acacia subulata","","","","","","","","",""
"ACSW2","","Acacia swazica","","","","","","","","",""
"ACTE9","","Acacia terminalis","","","","","","","","",""
"ACTE8","","Acacia tetragonophylla","","","","","","","","",""
"ACTO6","","Acacia tortilis","","","","","","","","",""
"ACTOH2","","Acacia tortilis ssp. heteracantha","","","","","","","","",""
"ACTOS2","","Acacia tortilis ssp. spirocarpa","","","","","","","","",""
"ACTO","","Acacia tortuosa","Perennial","","","","","","","",""
"ACTR6","","Acacia trineura","","","","","","","","",""
"ACUL2","","Acacia ulicifolia","","","","","","","","",""
"ACUN2","","Acacia uncinata","","","","","","","","",""
"ACUN3","","Acacia undulifolia","","","","","","","","",""
"ACUR2","","Acacia urophylla","","","","","","","","",""
"ACVE5","","Acacia verniciflua","","","","","","","","",""
"ACVE2","","Acacia verticillata","Perennial","","","","","","","",""
"ACVI7","","Acacia victoriae","","","","","","","","",""
"ACVI9","","Acacia viscidula","","","","","","","","",""
"ACVI10","","Acacia visco","","","","","","","","",""
"ACVO","","Acacia vogeliana","Perennial","","","","","","","",""
"ACWA3","","Acacia wattsiana","","","","","","","","",""
"ACWI2","","Acacia willardiana","","","","","","","","",""
"ACXA3","","Acacia xanthophloea","","","","","","","","",""
"ACACI2","","Acaciella","","","","","","","","",""
"ACAN11","","Acaciella angustissima","Perennial","","","","","","","",""
"ACANC3","","Acaciella angustissima var. chisosiana","Perennial","","","","","","","",""
"ACANH2","","Acaciella angustissima var. hirta","Perennial","","","","","","","",""
"ACGL7","","Acaciella glauca","","","","","","","","",""
"ACLE10","","Acaciella leucothrix","Perennial","","","","","","","",""
"ACSH2","","Acaciella shrevei","Perennial","","","","","","","",""
"ACSU12","","Acaciella suffrutescens","Perennial","","","","","","","",""
"ACAEN","","Acaena","","","","","","","","",""
"ACEX","","Acaena exigua","Perennial","","","","","","","",""
"ACMY3","","Acaena myriophylla","","","","","","","","",""
"ACNO7","","Acaena novae-zelandiae","Perennial","","","","","","","",""
"ACPA14","","Acaena pallida","Perennial","","","","","","","",""
"ACPI3","","Acaena pinnatifida","Perennial","","","","","","","",""
"ACPIC2","","Acaena pinnatifida var. californica","Perennial","","","","","","","",""
"ACALY","","Acalypha","","","","","","","","",""
"ACAL2","","Acalypha alopecuroidea","Annual","","","","","","","",""
"ACAM2","","Acalypha amentacea","Perennial","","","","","","","",""
"ACAMW","","Acalypha amentacea ssp. wilkesiana","Perennial","","","","","","","",""
"ACAMH","","Acalypha amentacea var. heterotricha","Perennial","","","","","","","",""
"ACAMP2","","Acalypha amentacea var. palauensis","Perennial","","","","","","","",""
"ACAR16","","Acalypha arvensis","Annual","","","","","","","",""
"ACAU6","","Acalypha australis","Annual","","","","","","","",""
"ACBE2","","Acalypha berteriana","Perennial","","","","","","","",""
"ACBI3","","Acalypha bisetosa","Perennial","","","","","","","",""
"ACCA3","","Acalypha californica","Perennial","","","","","","","",""
"ACCH2","","Acalypha chamaedryfolia","Perennial","","","","","","","",""
"ACDE4","","Acalypha deamii","Annual","","","","","","","",""
"ACGR2","","Acalypha gracilens","Annual","","","","","","","",""
"ACHI2","","Acalypha hispida","Perennial","","","","","","","",""
"ACIN12","","Acalypha indica","Annual","","","","","","","",""
"ACLA9","","Acalypha lanceolata","Annual","","","","","","","",""
"ACME7","","Acalypha mexicana","Annual","","","","","","","",""
"ACMO4","","Acalypha monococca","Annual","","","","","","","",""
"ACMO","","Acalypha monostachya","Perennial","","","","","","","",""
"ACNE","","Acalypha neomexicana","Annual","","","","","","","",""
"ACOS","","Acalypha ostryifolia","Annual","","","","","","","",""
"ACPH3","","Acalypha phleoides","Perennial","","","","","","","",""
"ACPO","","Acalypha poiretii","Annual","","","","","","","",""
"ACPO4","","Acalypha portoricensis","Perennial","","","","","","","",""
"ACRA","","Acalypha radians","Perennial","","","","","","","",""
"ACRH","","Acalypha rhomboidea","Annual","","","","","","","",""
"ACSE","","Acalypha setosa","Annual","","","","","","","",""
"ACVI","","Acalypha virginica","Annual","Spring, Summer, Fall","Green","5.9","7.0","13","60","Intermediate","33"
"ACWI","","Acalypha wilkesiana","Perennial","","","","","","","",""
"ACAMP","","Acamptopappus","","","","","","","","",""
"ACSH","","Acamptopappus shockleyi","Perennial","","","","","","","",""
"ACSP","","Acamptopappus sphaerocephalus","Perennial","","","","","","","",""
"ACSPH","","Acamptopappus sphaerocephalus var. hirtellus","Perennial","","","","","","","",""
"ACSPS2","","Acamptopappus sphaerocephalus var. sphaerocephalus","Perennial","","","","","","","",""
"ACANT6","","Acanthocereus","","","","","","","","",""
"ACTE4","","Acanthocereus tetragonus","Perennial","","","","","","","",""
"ACANT2","","Acanthomintha","","","","","","","","",""
"ACDU2","","Acanthomintha duttonii","Annual","","","","","","","",""
"ACIL","","Acanthomintha ilicifolia","Annual","","","","","","","",""
"ACLA2","","Acanthomintha lanceolata","Annual","","","","","","","",""
"ACOB","","Acanthomintha obovata","Annual","","","","","","","",""
"ACOBC","","Acanthomintha obovata ssp. cordata","Annual","","","","","","","",""
"ACOBO","","Acanthomintha obovata ssp. obovata","Annual","","","","","","","",""
"ACANT3","","Acanthospermum","","","","","","","","",""
"ACAU2","","Acanthospermum australe","Annual, Perennial","","","","","","","",""
"ACHI","","Acanthospermum hispidum","Annual, Perennial","","","","","","","",""
"ACHU","","Acanthospermum humile","Annual","","","","","","","",""
"ACANT7","","Acanthus","","","","","","","","",""
"ACEB3","","Acanthus ebracteatus","Perennial","","","","","","","",""
"ACMO8","","Acanthus mollis","Perennial","","","","","","","",""
"ACPO10","","Acanthus polystachyus","","","","","","","","",""
"ACPOP","","Acanthus polystachyus var. pseudopubescens","","","","","","","","",""
"ACSP7","","Acanthus spinosus","","","","","","","","",""
"ACSY","","Acanthus syriacus","","","","","","","","",""
"ACARO2","","Acarospora","","","","","","","","",""
"ACAE","","Acarospora aeruginosa","","","","","","","","",""
"ACAL13","","Acarospora albomarginata","","","","","","","","",""
"ACAM5","","Acarospora americana","","","","","","","","",""
"ACAM7","","Acarospora amphibola","","","","","","","","",""
"ACAP","","Acarospora applanata","","","","","","","","",""
"ACAR8","","Acarospora arenacea","","","","","","","","",""
"ACAR9","","Acarospora arenosa","","","","","","","","",""
"ACAS3","","Acarospora asahinae","","","","","","","","",""
"ACAS4","","Acarospora asperata","","","","","","","","",""
"ACBA4","","Acarospora badiofusca","","","","","","","","",""
"ACBU2","","Acarospora bullata","","","","","","","","",""
"ACCA14","","Acarospora caesiofusca","","","","","","","","",""
"ACCA15","","Acarospora californica","","","","","","","","",""
"ACCA16","","Acarospora canadensis","","","","","","","","",""
"ACCA17","","Acarospora carnegiei","","","","","","","","",""
"ACCE","","Acarospora cervina","","","","","","","","",""
"ACCI2","","Acarospora cinereoalba","","","","","","","","",""
"ACCI4","","Acarospora citrina","","","","","","","","",""
"ACCL6","","Acarospora clauzadeana","","","","","","","","",""
"ACCO10","","Acarospora coloradiana","","","","","","","","",""
"ACCO11","","Acarospora complanata","","","","","","","","",""
"ACDE9","","Acarospora desolata","","","","","","","","",""
"ACDI4","","Acarospora dispersa","","","","","","","","",""
"ACEL2","","Acarospora elevata","","","","","","","","",""
"ACFU2","","Acarospora fuscata","","","","","","","","",""
"ACFU3","","Acarospora fuscescens","","","","","","","","",""
"ACGA2","","Acarospora gallica","","","","","","","","",""
"ACGE4","","Acarospora geogena","","","","","","","","",""
"ACGL2","","Acarospora glaucocarpa","","","","","","","","",""
"ACHA3","","Acarospora hassei","","","","","","","","",""
"ACHE6","","Acarospora heppii","","","","","","","","",""
"ACHE7","","Acarospora heufleriana","","","","","","","","",""
"ACHI6","","Acarospora hilaris","","","","","","","","",""
"ACIM2","","Acarospora immersa","","","","","","","","",""
"ACIM3","","Acarospora impressula","","","","","","","","",""
"ACIN5","","Acarospora instrata","","","","","","","","",""
"ACIN6","","Acarospora interjecta","","","","","","","","",""
"ACIN7","","Acarospora interposita","","","","","","","","",""
"ACIN8","","Acarospora interspersa","","","","","","","","",""
"ACMA10","","Acarospora macrospora","","","","","","","","",""
"ACMO6","","Acarospora molybdina","","","","","","","","",""
"ACNE7","","Acarospora nevadensis","","","","","","","","",""
"ACNI6","","Acarospora nigromarginata","","","","","","","","",""
"ACNI7","","Acarospora nitida","","","","","","","","",""
"ACNO6","","Acarospora nodulosa","","","","","","","","",""
"ACNON","","Acarospora nodulosa var. nodulosa","","","","","","","","",""
"ACOB4","","Acarospora obnubila","","","","","","","","",""
"ACOB5","","Acarospora obpallens","","","","","","","","",""
"ACOL","","Acarospora oligospora","","","","","","","","",""
"ACPA7","","Acarospora particularis","","","","","","","","",""
"ACPE6","","Acarospora peliscypha","","","","","","","","",""
"ACPE7","","Acarospora peltastica","","","","","","","","",""
"ACPY2","","Acarospora pyrenopsoides","","","","","","","","",""
"ACRA4","","Acarospora radicata","","","","","","","","",""
"ACRE7","","Acarospora reagens","","","","","","","","",""
"ACRU5","","Acarospora rugulosa","","","","","","","","",""
"ACSA6","","Acarospora saepincola","","","","","","","","",""
"ACSC4","","Acarospora scabrida","","","","","","","","",""
"ACSC5","","Acarospora schleicheri","","","","","","","","",""
"ACSC6","","Acarospora scotica","","","","","","","","",""
"ACSI4","","Acarospora sinopica","","","","","","","","",""
